Epoch,Train Loss,Val Loss,Test Loss,Train Acc,Val Acc,Test Acc
1,1.7785509932986305,1.6660983743546884,1.650285225880297,0.43598,0.4032,0.4256
2,1.5704612731171386,1.6230240411396268,1.5899506143376798,0.45856,0.4256,0.4388
3,1.49893886110057,1.538244162933736,1.5296059122568444,0.47978,0.448,0.4608
4,1.4465272742159225,1.5791369978385636,1.581872505477712,0.49812,0.4462,0.4464
5,1.401705715052612,1.5210862235177922,1.526206460180162,0.51766,0.4706,0.4718
6,1.3672658424548176,1.4659206112728844,1.4976392275170436,0.52918,0.4886,0.477
7,1.3387328838295949,1.4723911300490173,1.4789034777049777,0.5437,0.489,0.4894
8,1.307018645889009,1.4657289348071134,1.4914794918857044,0.55338,0.491,0.493
9,1.283685571092474,1.4605124238171154,1.4656467935706996,0.56014,0.4854,0.4928
10,1.2561479611012636,1.4378309612032734,1.4398174527325207,0.56232,0.5028,0.509
11,1.2269170378022791,1.5062976351267174,1.5015799727620958,0.56444,0.4828,0.4864
12,1.2005299909797775,1.3944673477848875,1.4034699774995636,0.59698,0.5072,0.508
13,1.1759265565963657,1.39068643729898,1.4343603441986856,0.60096,0.526,0.5118
14,1.1496819114441152,1.4006307698503326,1.431063715415665,0.6067,0.5178,0.5104
15,1.1210115731829573,1.3570337499244303,1.3862385810176028,0.61436,0.5276,0.5268
16,1.0976201317956686,1.3645523514928697,1.3932225824911384,0.62734,0.522,0.5228
17,1.0688610202668574,1.3522768578951871,1.3861358467536637,0.63038,0.54,0.5312
18,1.0428719910057,1.3946881988380528,1.4145158861256852,0.64432,0.5294,0.521
19,1.0156642653600638,1.3338394300847114,1.3623139375372777,0.64936,0.5462,0.5292
20,0.9931273836156597,1.3325036281271825,1.3678053964542438,0.65798,0.5544,0.5466
21,0.9640034545413063,1.336179096487504,1.3772681785535208,0.66486,0.5496,0.539
22,0.9421579505476501,1.334943322441246,1.3605876934679249,0.67752,0.5514,0.5396
23,0.918635925978346,1.3273963867863523,1.3537729918202268,0.68196,0.5626,0.5472
24,0.8974463252155372,1.3227094193048115,1.349600132507614,0.68802,0.5632,0.5504
25,0.8803317524740458,1.326772612106951,1.3525889704499063,0.69126,0.5576,0.5466
26,0.8668815310653823,1.3289754601973522,1.3641964853564394,0.69862,0.5592,0.5502
27,0.8558886461626843,1.3333796587171434,1.3662586876108676,0.69682,0.5656,0.5486
28,0.8464105515681264,1.339874591253981,1.3740429417996467,0.69974,0.5622,0.5456
29,0.8430334412304642,1.33708411832399,1.370222291614436,0.70194,0.562,0.5464
30,0.8359170874671253,1.3364874780932559,1.3691938911812216,0.70298,0.5634,0.5468
